OSEBuildingID,BuildingType,PrimaryPropertyType,Address,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ENERGYSTARScore,SteamUse(kBtu),Electricity(kWh),NaturalGas(therms),TotalGHGEmissions,TotalGHGEmissions_log
26157.0,NonResidential,Senior Care Community,7500 Seward Park Ave S,SOUTHEAST,47.537451,-122.28841249999999,1967,1.0,1.0,141297.0,0.0,141297.0,Senior Care Community,Senior Care Community,141297.0,Parking,11745.0,76.0,0.0,1992345.25,65448.83886650005,564.2850000000001,6.3373279806556635
26319.0,SPS-District K-12,K-12 School,3701 S. Kenyon St.,GREATER DUWAMISH,47.537451,-122.28841249999999,1971,1.0,2.0,52901.0,0.0,52901.0,K-12 School,K-12 School,52901.0,Parking,11745.0,75.0,0.0,373387.1875,9663.448242,60.2,4.11414718951828
24598.0,NonResidential,Refrigerated Warehouse,2250 occidental ave s,GREATER DUWAMISH,47.58217,-122.33263,1955,1.0,2.0,21870.0,0.0,21870.0,Refrigerated Warehouse,Refrigerated Warehouse,21870.0,Parking,11745.0,45.0,0.0,314874.0938,0.0,7.49,2.138889000323256
49701.7,Nonresidential COS,Other,848 7th Ave S,GREATER DUWAMISH,47.59523,-122.32334,2009,1.0,1.0,21038.2,0.0,20993.0,"Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",20983.0,Parking,11745.0,73.0,0.0,233244.0938,989.1200562,10.8,2.468099531471619
24604.0,NonResidential,Mixed Use Property,3400 Harbor Ave SW,SOUTHWEST,47.57269,-122.37056,2004,1.0,5.0,35176.0,0.0,35176.0,"Office, Other",Office,14452.0,Other,14452.0,73.0,0.0,296590.0,0.0,7.05,2.0856720914304723
25745.0,NonResidential,Worship Facility,609 8th Ave,EAST,47.60514,-122.32613,1906,1.0,1.0,48850.0,0.0,48850.0,"Office, Other, Worship Facility",Worship Facility,28725.0,Office,4325.0,73.0,815676.125,70317.5,78.81000519,65.05,4.190412030968334
25659.0,NonResidential,Small- and Mid-Sized Office,119 S. Main Street,DOWNTOWN,47.59979,-122.33318,1906,1.0,4.0,39030.0,0.0,39030.0,"Office, Retail Store",Office,32001.0,Retail Store,6685.0,97.0,0.0,153675.7969,1889.849976,13.69,2.6871669901857858
49701.7,NonResidential,Supermarket / Grocery Store,2622 CALIFORNIA AVE SW,SOUTHWEST,47.57984,-122.3783225,2009,1.0,1.0,67263.0,0.0,67263.0,Supermarket/Grocery Store,Supermarket/Grocery Store,67263.0,Parking,11745.0,78.0,0.0,2717599.5,54250.36328,352.77,5.868646984461759
27955.0,SPS-District K-12,K-12 School,2409 22nd Ave. E.,EAST,47.64063,-122.30428,1925,1.0,2.0,27273.0,0.0,27273.0,K-12 School,K-12 School,27273.0,Parking,11745.0,90.0,0.0,127941.0,8220.842773,46.7,3.8649313978942956
20885.0,NonResidential,Senior Care Community,820 NW 95th Street,BALLARD,47.69875,-122.36725,1966,1.0,2.0,34636.0,31000.0,20804.25,"Parking, Senior Care Community",Senior Care Community,36000.0,Parking,583.3999999999996,14.0,0.0,1043779.313,65448.83886650005,480.9,6.177736623646287
